smiles,uM_value,pchembl_value
Cc1cccc(NC(=O)CSc2nc(O)c3c[nH]nc3n2)c1C,4.46,5.35
Cc1cc(S(=O)(=O)Nc2cccc(O)c2)c(C)s1,14.56,4.84
c1nc(NCc2ccc3c(c2)OCO3)n[nH]1,17.94,4.75
Cc1sc(NC(=O)C2CCCCC2C(=O)O)c(C(N)=O)c1-c1ccccc1,10.95,4.96
CCCCc1ccc(NC(=O)N[C@H](C(=O)O)C(C)CC)cc1,6.31,5.2
O=C(O)CCN1C(=O)/C(=C/c2cn(-c3ccccc3)nc2-c2cccs2)SC1=S,3.05,5.52
O=C(CSc1nc(O)cc(O)n1)Nc1ccc2c(c1)CCC2,2.01,5.7
Cc1ccc(Cn2ccc(NC(=O)C3C4CCC(C4)C3C(=O)O)n2)cc1,10.18,4.99
CC(=O)c1cc2c(O)c(O)ccc2o1,75.44,4.12
Cc1cc(C(=O)COC(=O)c2cccnc2O)c(C)n1CCc1ccc(F)cc1,18.21,4.74
O=C1CS/C(=C\S(=O)(=O)c2ccc(Cl)cc2)N1,39.98,4.4
O=C(CSc1n[nH]c(-c2ccccc2)n1)c1ccccc1,47.49,4.32
O=C(O)CSc1nc(-c2ccc(Cl)cc2)nc2c1oc1ccccc12,34.56,4.46
Cc1nc2c([nH]1)C1(CCN(Cc3ccccc3)CC1)C(C#N)=C(N)O2.Cl,63.15,4.2
CCN(CC)c1ccc(/C=C(/C#N)C(=O)NC(C)C)o1,65.77,4.18
COc1cc(NC(=O)CSc2nnc3c(C)cc4cc(C)cc(C)c4n23)c(C(=O)O)cc1OC,6.0,5.22
O=C(CN1C(=O)c2ccccc2S1(=O)=O)NCCSC1CCCCC1,9.32,5.03
Cc1cccc(NC(=O)CSc2nnc(NC(=O)CN3CCOCC3)s2)c1,14.04,4.85
CC(CCc1sccc1N=Nc1c(O)ccc2ccccc12)CC(=O)O,18.62,4.73
CCOC(=O)c1c(-c2ccc(-c3ccccc3)cc2)csc1NC(=O)C1C2CCC(O2)C1C(=O)O,6.09,5.21
O=S(=O)(Nc1cccc2nsnc12)c1ccccc1,15.49,4.81
CC1=C(C)CC(C(=O)Nc2cccc(Cl)c2)C(C(=O)O)C1,2.38,5.62
N#Cc1c(O)nc(SCC(=O)N2c3ccccc3Sc3ccccc32)nc1-c1ccccc1,10.18,4.99
O=C(O)CC(Cc1ccccc1)C(=O)Nc1ccc([N+](=O)[O-])cc1,15.71,4.8
