canonical_smiles,uM_value
Cc1ccc(Cn2ccc(NC(=O)C3C4CCC(C4)C3C(=O)O)n2)cc1,10.18
CC(=O)c1cc2c(O)c(O)ccc2o1,75.44
Cc1cc(C(=O)COC(=O)c2cccnc2O)c(C)n1CCc1ccc(F)cc1,18.21
O=C1CS/C(=C\S(=O)(=O)c2ccc(Cl)cc2)N1,39.98
O=C(CSc1n[nH]c(-c2ccccc2)n1)c1ccccc1,47.49
O=C(O)CSc1nc(-c2ccc(Cl)cc2)nc2c1oc1ccccc12,34.56
Cc1nc2c([nH]1)C1(CCN(Cc3ccccc3)CC1)C(C#N)=C(N)O2.Cl,63.15
CCN(CC)c1ccc(/C=C(/C#N)C(=O)NC(C)C)o1,65.77
COc1cc(NC(=O)CSc2nnc3c(C)cc4cc(C)cc(C)c4n23)c(C(=O)O)cc1OC,6.0
O=C(CN1C(=O)c2ccccc2S1(=O)=O)NCCSC1CCCCC1,9.32
Cc1cccc(NC(=O)CSc2nnc(NC(=O)CN3CCOCC3)s2)c1,14.04
CC(CCc1sccc1N=Nc1c(O)ccc2ccccc12)CC(=O)O,18.62
CCOC(=O)c1c(-c2ccc(-c3ccccc3)cc2)csc1NC(=O)C1C2CCC(O2)C1C(=O)O,6.09
O=S(=O)(Nc1cccc2nsnc12)c1ccccc1,15.49
CC1=C(C)CC(C(=O)Nc2cccc(Cl)c2)C(C(=O)O)C1,2.38
N#Cc1c(O)nc(SCC(=O)N2c3ccccc3Sc3ccccc32)nc1-c1ccccc1,10.18
O=C(O)CC(Cc1ccccc1)C(=O)Nc1ccc([N+](=O)[O-])cc1,15.71
CCOC(=O)c1ccc(NC(=O)C2C3CCC(C3)C2C(=O)O)cc1,20.03
O=C1CC(=O)C(n2cncn2)C(c2ccc(Cl)cc2Cl)C1,17.95
O=C(O)C1CC=CCC1C(=O)Nc1cccc(Cl)c1,6.23
O=C(O)c1cccc(S(=O)(=O)Nc2ccc(O)cc2Sc2nc3ccccc3s2)c1,9.02
COc1ccc(NC(=O)CSc2nc(O)c(Cc3ccccc3)c(O)n2)cc1,10.18
Cc1ccc(Nc2nnc(SC3CCOC3=O)s2)c(C)c1,2.57
CC(C)=NN=C(N)N=C(S)Nc1ccc(C)cc1,59.27
CCc1c(O)n(C(C)CC)c(SCC(=O)Nc2ccccc2)nc1=O,17.8
O=C(O)C1CCCCC1C(=O)Nc1ccc(Cl)cc1Cl,14.3
O=C(O)c1ccccc1NS(=O)(=O)c1ccc(NN=C(S)Nc2ccc(OC(F)F)cc2)c([N+](=O)[O-])c1,5.33
COc1ccc2cc(/C=C3\SC(=S)NC3=O)c(N3CCOCC3)nc2c1,1.76
O=C(CSc1nccc(O)n1)Nc1ccc(F)c(Cl)c1,6.03
COC(=O)c1c(NC(=O)C2CC=CCC2C(=O)O)sc(C)c1C,4.32
